86f76591-ce83-4212-9fb5-4bed6cd28440,Gillie,Whitehorne,gwhitehorne0@slashdot.org,06/20/1995,27
e635eb5b-b37c-42a4-b7f8-45b7afa8ce69,Renaldo,Webberley,rwebberley1@squidoo.com,03/04/1999,24
df1887b3-1456-4d8a-bea9-656c384db0ea,Malvina,Samuels,msamuels2@nytimes.com,11/24/1990,32
e4e76ac3-8ab6-4f58-94e0-409cdc2a5031,Broddy,Shout,bshout3@opera.com,10/02/1995,27
b76a9c6f-ff42-40f0-b3cd-765a138aa785,Brendan,Fair,bfair4@cloudflare.com,07/28/1998,24
163c6ac5-5a4c-494e-84b3-6073ba45be43,Robyn,Schapiro,rschapiro5@china.com,11/12/1992,30
119c501c-e725-4e6a-ab52-2baba4832ea9,Alonzo,Stiggers,astiggers6@angelfire.com,03/24/1996,27
606fdc5b-ce44-4709-9675-963bf8d1b20a,Jerrylee,Stuehmeyer,jstuehmeyer7@jigsy.com,12/10/1991,31
2b0b5c51-a67d-4f23-a437-6329cc955c8b,Barbara-anne,Cullin,bcullin8@scribd.com,01/29/1999,24
24cba5c4-fedd-438d-896b-7a1084fef243,Rudolfo,Saynor,rsaynor9@domainmarket.com,04/13/1991,32
